year,weekend,movie_titles,movie_urls,movie_grosses,movie_distributors
2021,https://www.boxofficemojo.com/weekend/2021W05/?area=FR&ref_=bo_wey_table_47,,,,
2023,https://www.boxofficemojo.com/weekend/2023W07/?area=FR&ref_=bo_wey_table_46,"Ant-Man and the Wasp: Quantumania,Un homme heureux,Tchaikovsky's Wife,Oh My Goodness!,Marlowe,Le grand cirque,The Astronaut","https://www.boxofficemojo.com/release/rl192971521/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl3196093185/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl3212870401/?ref_=bo_we_table_10,https://www.boxofficemojo.com/release/rl2961212161/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl2977989377/?ref_=bo_we_table_15,https://www.boxofficemojo.com/release/rl2994766593/?ref_=bo_we_table_17,https://www.boxofficemojo.com/release/rl3011543809/?ref_=bo_we_table_19","$4,874,404,-,$5,360,950,$1,429,124,$2,910,$1,429,124,$479,638,$3,307,$479,638,$368,342,$1,320,$368,342,$328,642,$1,454,$328,642,$221,922,$1,369,$221,922,$209,891,$1,206,$209,891","Walt Disney Studios Motion Pictures,Gaumont,Bac Films,Le Pacte,Miramax,Apollo Films,Diaphana Films"
2022,https://www.boxofficemojo.com/weekend/2022W06/?area=FR&ref_=bo_wey_table_47,"Death on the Nile,Moonfall,The Wannabes,Undercover,Marry Me,White Snake,I Want to Talk About Duras,The Innocents,Great Freedom","https://www.boxofficemojo.com/release/rl791642881/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl2804908801/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl2553250561/?ref_=bo_we_table_5,https://www.boxofficemojo.com/release/rl2570027777/?ref_=bo_we_table_7,https://www.boxofficemojo.com/release/rl2586804993/?ref_=bo_we_table_12,https://www.boxofficemojo.com/release/rl2603582209/?ref_=bo_we_table_16,https://www.boxofficemojo.com/release/rl2620359425/?ref_=bo_we_table_20,https://www.boxofficemojo.com/release/rl2721022721/?ref_=bo_we_table_27,https://www.boxofficemojo.com/release/rl2637136641/?ref_=bo_we_table_28","$2,064,607,$4,517,$2,064,607,$1,273,212,$2,070,$1,273,212,$1,097,827,$2,381,$1,097,827,$638,930,$3,293,$638,930,$363,593,$1,289,$363,593,$203,906,$736,$203,906,$134,042,$1,456,$134,042,$69,873,$1,663,$69,873,$59,624,$1,146,$59,624","Walt Disney Pictures,Miramax,Gaumont,Pyramide Distribution,Universal Pictures International (UPI),KMBO,Sophie Dulac Distribution,Paname Distribution"
2021,https://www.boxofficemojo.com/weekend/2021W10/?area=FR&ref_=bo_wey_table_42,,,,
2022,https://www.boxofficemojo.com/weekend/2022W15/?area=FR&ref_=bo_wey_table_38,"Fantastic Beasts: The Secrets of Dumbledore,The Revenge of the Shiny Shrimps,Rabbit Academy: Mission Eggpossible,Rookies","https://www.boxofficemojo.com/release/rl2352775937/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl1816101633/?ref_=bo_we_table_7,https://www.boxofficemojo.com/release/rl1782547201/?ref_=bo_we_table_9,https://www.boxofficemojo.com/release/rl1631552257/?ref_=bo_we_table_12","$6,729,942,$7,236,$6,729,942,$406,030,$971,$406,030,$277,747,$662,$277,747,$110,401,$1,600,$110,401","Warner Bros.,Universal Pictures International (UPI),KMBO,Le Pacte"
2021,https://www.boxofficemojo.com/weekend/2021W12/?area=FR&ref_=bo_wey_table_40,,,,
2023,https://www.boxofficemojo.com/weekend/2023W14/?area=FR&ref_=bo_wey_table_39,"The Super Mario Bros. Movie,The Three Musketeers - Part I: D'Artagnan,A Cat's Life,L'établi,Next Sohee,Normale","https://www.boxofficemojo.com/release/rl1938653953/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl3314385665/?ref_=bo_we_table_2,https://www.boxofficemojo.com/release/rl3331162881/?ref_=bo_we_table_11,https://www.boxofficemojo.com/release/rl3347940097/?ref_=bo_we_table_14,https://www.boxofficemojo.com/release/rl948732673/?ref_=bo_we_table_15,https://www.boxofficemojo.com/release/rl965509889/?ref_=bo_we_table_18","$9,326,898,$12,655,$11,766,649,$5,617,866,$7,674,$5,617,866,$220,067,$654,$220,067,$165,173,$1,241,$165,173,$157,028,$1,764,$157,028,$83,630,$972,$83,630","Universal Pictures International (UPI),Cohen Media Group,UGC Distribution,Le Pacte,Arizona Films,Haut et Court"
2023,https://www.boxofficemojo.com/weekend/2023W18/?area=FR&ref_=bo_wey_table_35,"Guardians of the Galaxy Vol. 3,Showing Up,La marginale,Disco Boy","https://www.boxofficemojo.com/release/rl1368621825/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl2475852545/?ref_=bo_we_table_14,https://www.boxofficemojo.com/release/rl2492629761/?ref_=bo_we_table_18,https://www.boxofficemojo.com/release/rl2509406977/?ref_=bo_we_table_22","$9,704,317,$15,882,$9,704,317,$195,138,$1,478,$195,138,$161,276,$743,$161,276,$87,205,$1,585,$87,205","Walt Disney Studios Motion Pictures,Diaphana Films,Sony Pictures Releasing,KMBO"
2021,https://www.boxofficemojo.com/weekend/2021W13/?area=FR&ref_=bo_wey_table_39,,,,
2023,https://www.boxofficemojo.com/weekend/2023W21/?area=FR&ref_=bo_wey_table_32,"The Little Mermaid,Just the Two of Us,The King of Algiers,Knights of the Zodiac,Lost & Found","https://www.boxofficemojo.com/release/rl2610397953/?ref_=bo_we_table_1,https://www.boxofficemojo.com/release/rl3348595457/?ref_=bo_we_table_4,https://www.boxofficemojo.com/release/rl949388033/?ref_=bo_we_table_6,https://www.boxofficemojo.com/release/rl2156364545/?ref_=bo_we_table_10,https://www.boxofficemojo.com/release/rl966165249/?ref_=bo_we_table_12","$3,705,342,-,$4,429,420,$1,208,804,$2,639,$1,208,804,$827,694,$2,299,$827,694,$265,683,$1,202,$265,683,$92,805,$672,$92,805","Walt Disney Studios Motion Pictures,Diaphana Films,StudioCanal,Sony Pictures Releasing,KMBO"
